a/b ; Ks
1,0075206396372938; 12,999885122612467
1,0331612725351143; 12,813921607670746
1,0498874201602155; 12,62809594559407
1,0754361511480077; 12,426669934290135
1,1009848821358004; 12,2252439229862
1,1354480983963113; 12,023680058817224
1,1699113146568232; 11,822116194648247
1,204466432827362; 11,636014826841485
1,2388377471778456; 11,418988466310292
1,282123546801048; 11,201824252914058
1,369062753687564; 10,829345811570452
1,3345995374270525; 11,030909675739428
1,421263038583485; 10,612043745309174
1,4736471272994622; 10,42566667177233
1,552682769923568; 10,223413543278141
1,6318103144577023; 10,036622911146171
1,7108459570818075; 9,834369782651983
1,8255395407967892; 9,631565242697627
1,9492395116945178; 9,444085346240447
2,144071560953942; 9,224577634138496
2,392574325669735; 9,035167797570727
2,6856495167491232; 8,845068696677746
3,130270957464732; 8,65262609707905
3,5306875794568597; 8,52272274725443
4,243294989814205; 8,418919539877772
4,956086203991606; 8,346041325225542
5,374975109899367; 8,32409974420635
5,9900745937169715; 8,31458789651845
